 TECH MAHINDRA LTD ,,,,  ,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-24,Jun-24,Sep-24,Dec-24,Mar-25,Jun-25,Sep-25,Dec-25,Mar-26,Jun-26
Sales,"  12,871.30 ","  13,005.50 ","  13,313.20 ","  13,285.60 ","  13,384.00 ","  13,351.20 ","  13,994.90 ","  14,393.20 ","  15,076.10 ","  15,711.90 "
Expenses,"  11,772.20 ","  11,441.00 ","  11,563.00 ","  11,476.60 ","  11,545.10 ","  11,416.00 ","  11,829.70 ","  12,027.60 ","  12,510.90 ","  12,973.70 "
Operating Profit,"  1,099.10 ","  1,564.50 ","  1,750.20 ","  1,809.00 ","  1,838.90 ","  1,935.20 ","  2,165.20 ","  2,365.60 ","  2,565.20 ","  2,738.20 "
Other Income,  379.90 ,  147.30 ,  522.10 ,  23.10 ,  172.70 ,  218.80 ,  40.00 ,  -293.20 ,  -204.70 ,  -106.40 
Depreciation,  461.40 ,  462.20 ,  469.80 ,  458.80 ,  462.10 ,  458.10 ,  468.70 ,  473.70 ,  481.10 ,  478.60 
Interest,  58.50 ,  71.50 ,  89.00 ,  75.90 ,  85.30 ,  77.80 ,  77.20 ,  93.60 ,  88.80 ,  111.30 
Profit before tax,  959.10 ,"  1,178.10 ","  1,713.50 ","  1,297.40 ","  1,464.20 ","  1,618.10 ","  1,659.30 ","  1,505.10 ","  1,790.60 ","  2,041.90 "
Tax,  294.90 ,  313.30 ,  456.00 ,  308.60 ,  322.30 ,  489.30 ,  457.60 ,  386.50 ,  434.20 ,  555.60 
Net profit,  661.00 ,  851.50 ,"  1,250.10 ",  983.20 ,"  1,166.70 ","  1,140.60 ","  1,194.50 ","  1,122.00 ","  1,353.80 ","  1,465.10 "
,,,,,,,,,,
OPM,9%,12%,13%,14%,14%,14%,15%,16%,17%,17%
