 TECH MAHINDRA LTD ,,,,,,,  ,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26,Trailing,Best Case,Worst Case
Sales,"  29,140.80 ","  30,772.90 ","  34,742.10 ","  36,867.70 ","  37,855.10 ","  44,646.00 ","  53,290.20 ","  51,995.50 ","  52,988.30 ","  56,815.40 ","  59,176.10 ","  60,918.91 ","  58,092.49 "
Expenses,"  24,956.40 ","  26,063.30 ","  28,470.70 ","  31,364.60 ","  31,058.80 ","  36,626.00 ","  45,527.40 ","  47,489.20 ","  46,024.50 ","  47,782.80 ","  49,341.90 ","  50,795.08 ","  50,731.19 "
Operating Profit,"  4,184.40 ","  4,709.60 ","  6,271.40 ","  5,503.10 ","  6,796.30 ","  8,020.00 ","  7,762.80 ","  4,506.30 ","  6,963.80 ","  9,032.60 ","  9,834.20 ","  10,123.83 ","  7,361.30 "
Other Income,  775.30 ,"  1,416.60 ",  534.20 ,"  1,192.40 ",  788.30 ,"  1,115.10 ",  965.00 ,  927.40 ,  864.00 ,  -240.50 ,  -564.30 ,  -   ,  -   
Depreciation,  978.10 ,"  1,085.00 ","  1,129.20 ","  1,445.80 ","  1,457.70 ","  1,520.40 ","  1,956.70 ","  1,817.10 ","  1,852.90 ","  1,881.60 ","  1,902.10 ","  1,902.10 ","  1,902.10 "
Interest,  128.60 ,  162.40 ,  133.20 ,  191.90 ,  174.00 ,  162.60 ,  325.60 ,  392.20 ,  321.70 ,  337.40 ,  370.90 ,  370.90 ,  370.90 
Profit before tax,"  3,853.00 ","  4,878.80 ","  5,543.20 ","  5,057.80 ","  5,952.90 ","  7,452.10 ","  6,445.50 ","  3,224.40 ","  5,653.20 ","  6,573.10 ","  6,996.90 ","  7,850.83 ","  5,088.30 "
Tax,"  1,002.10 ","  1,092.60 ","  1,254.40 ","  1,160.40 ","  1,599.90 ","  1,822.00 ","  1,588.50 ",  827.60 ,"  1,400.20 ","  1,767.60 ","  1,833.90 ",26%,26%
Net profit,"  2,812.90 ","  3,799.80 ","  4,297.60 ","  4,033.00 ","  4,428.00 ","  5,566.10 ","  4,831.30 ","  2,357.80 ","  4,251.50 ","  4,810.90 ","  5,135.40 ","  5,793.11 ","  3,754.65 "
EPS,  28.88 ,  38.79 ,  43.70 ,  41.75 ,  45.73 ,  57.28 ,  49.60 ,  24.14 ,  43.43 ,  49.10 ,  52.40 ,  59.11 ,  38.31 
Price to earning,  15.90 ,  16.47 ,  17.75 ,  13.54 ,  21.68 ,  26.18 ,  22.22 ,  51.71 ,  32.66 ,  28.19 ,  29.76 ,  35.58 ,  25.10 
Price,  459.15 ,  638.70 ,  775.90 ,  565.50 ,  991.45 ,"  1,499.45 ","  1,101.85 ","  1,248.10 ","  1,418.25 ","  1,384.00 ","  1,559.50 ","  2,103.00 ",  961.42 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,28.08%,32.55%,28.91%,32.42%,88.82%,47.30%,91.07%,149.73%,93.65%,93.88%,,,
OPM,14.36%,15.30%,18.05%,14.93%,17.95%,17.96%,14.57%,8.67%,13.14%,15.90%,16.62%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,7.70%,7.28%,8.46%,2.16%,7.22%,7.22%,2.16%
,,,,,,OPM,14.86%,14.53%,13.97%,12.67%,16.62%,16.62%,12.67%
,,,,,,Price to Earning,  25.10 ,  28.24 ,  31.78 ,  35.58 ,  29.76 ,  35.58 ,  25.10 
